Protein_ID,Molecule_ID,Ki
6,37,7.471456279813081
6,36,7.342480742785428
6,38,7.396832796351012
6,39,7.379731719594932
6,228,9.404324784954989
6,229,9.339452582561275
6,226,9.211450275202306
6,227,9.382344413544502
6,230,9.182373690323804
6,232,9.092981385413465
6,233,9.369666424091692
6,231,9.734037712391823
6,561,7.766082842640171
6,563,7.841989978861857
6,562,7.820479327664598
6,568,7.841917353999021
6,564,7.882406166519221
6,569,7.819999174376109
6,565,7.7833357203106095
6,560,7.721712074971456
6,567,7.736081465587084
6,566,7.740096889713776
6,730,7.588432017012488
6,731,7.7506056445972655
6,733,6.991788440428084
6,735,7.419772789318141
6,732,8.093617281657538
6,738,8.037440657625417
6,736,7.777263707053917
6,741,7.904675961362601
6,744,7.719309377897562
6,746,7.592629673962985
6,737,7.8127643025963485
6,747,7.909588556771525
6,745,7.245718930968896
6,739,7.837917710216096
6,743,7.351447342043161
6,742,7.597346495287139
6,740,7.548650707959616
6,768,7.015750382127298
6,767,6.744129434163424
6,769,6.979937660802818
6,766,7.101528817531115
6,1507,8.878387037076347
6,1508,8.902329277034228
6,1502,8.291125635778604
6,1509,8.801635334999856
6,1510,8.500064831985531
6,1503,8.535990569015478
6,1505,8.185017971059326
6,1506,8.431520234484953
6,1504,9.268163363163923
6,1621,7.925297121634873
6,1618,8.24935497486975
6,1622,8.361126455234476
6,1620,8.014649559049749
6,1615,8.486450035184095
6,1616,8.95096953578539
6,1623,8.096645614748725
6,1614,8.343072719064358
6,1613,8.199741795292583
6,1617,8.729986620431207
6,1627,8.18931828584595
6,1619,8.737111408844832
6,1626,8.027521862850223
6,1625,8.660398692450325
6,1624,8.247090858213424
6,2261,8.12499223848489
6,2262,7.11769445536011
6,2263,8.114558066640994
6,2264,7.6918100069450155
6,2265,7.8210689757624055
6,2266,7.733837384907314
6,2267,7.954506557320303
6,2268,8.32504926208516
6,2269,7.69844896782561
6,2418,8.93184550058202
6,2419,8.960151009930422
6,2420,8.615559807841851
6,2421,8.702246666422134
6,2422,8.904594255349412
6,2423,9.09299998105753
6,2424,9.1647283223452
6,2425,8.843012549165325
6,2548,7.123561480195839
6,2544,6.970932681344393
6,2545,6.808883556870943
6,2550,6.7570248943856335
6,2547,7.077284725760593
6,2546,7.568095179627819
6,2549,6.714921412256342
6,2551,6.890928118969029
6,2543,6.539995477893968
6,2628,8.258097992038943
6,2630,8.774853474282205
6,2629,8.326255434437071
6,2631,8.097377800445747
6,3020,8.650492154134236
6,3019,7.489027661556128
6,3017,8.530426781970908
6,3015,8.84410780001312
6,3022,8.793882006914405
6,3021,7.870107694575526
6,3018,7.8655487206497705
6,3016,8.975404917264685
6,3024,7.633296252025135
6,3028,8.297807914757813
6,3027,8.300927982337111
6,3025,7.368595914628095
6,3026,7.564579583015448
6,3297,7.441201368531522
6,3298,7.956652025724104
6,3517,8.86240298556716
6,3972,8.351638740949666
6,3974,7.539377275621675
6,3973,7.795652177237358
6,3975,7.810781604076515
6,3976,7.181025954281278
6,3977,7.640286317897558
6,3978,7.792716146641646
6,3979,8.396595179701354
6,3980,7.695360545412043
6,3981,8.188324598827979
6,3982,7.814918994497197
6,3983,7.646898155754257
6,3993,8.080450554962056
6,3994,9.209567031290389
6,3995,8.31231024141047
6,3996,7.912382636154172
6,3997,8.099170950954257
6,3998,8.050889831087407
6,3999,8.29412394597858
6,4000,7.918029009469286
6,4001,8.202719391608849
6,4002,7.892036930213414
6,4003,8.246941452945363
6,4004,8.246392464060794
6,4005,8.067983367256463
6,4006,8.322158221313984
6,4007,7.9451022885010225
6,4008,8.417034694553074
6,4009,8.202142210771889
6,4010,7.7321050862041965
6,4011,8.139745442100345
6,4012,7.794030133429609
6,4491,8.56875897330111
6,4546,7.703578942716143
6,4544,7.325040637877044
6,4547,7.520382620419377
6,4545,7.697169260966881
6,4552,7.702898935550256
6,4553,7.713323687251545
6,4554,7.623367886013463
6,4550,7.444538847227101
6,4549,7.648009110387851
6,4548,7.143911315522216
6,4551,7.7668121516222985
6,5296,7.305224832744948
6,5297,7.384628884159818
6,5525,8.40883689686535
6,5524,8.158846555372211
6,5529,8.372369051226674
6,5534,8.370930126995795
6,5531,8.678292500937697
6,5535,8.231633913613123
6,5536,9.014595682697314
6,5528,8.59965509004169
6,5530,8.74747448316487
6,5537,8.619805754962327
6,5526,8.717696805740125
6,5538,9.064204837250191
6,5527,8.459439837564695
6,5533,8.93336025939764
6,5532,8.461772441257983
6,5785,8.540300719157687
6,5788,8.710675146126949
6,5787,8.444187537978305
6,6459,8.08474159453679
6,6460,8.123017832807928
6,6465,7.638748992526487
6,6467,7.615414353165397
6,6461,7.617263597541359
6,6470,7.5610437411704625
6,6463,7.781177127361422
6,6469,7.665958786100119
6,6464,7.798225445929944
6,7608,6.440172744748691
6,7606,6.854286576855637
6,7610,6.645503215431346
6,7607,7.338400845815512
6,7609,6.61908788472595
6,9680,7.75385790901502
6,9682,8.207163538228855
6,9683,8.324236282927286
6,9684,8.230885783983041
6,9681,8.221744338282399
6,11325,7.050484149656443
6,11328,7.115307849506235
6,11327,7.212169531563955
6,11551,7.71345199707693
6,11552,7.345741418754958
6,11553,7.370759523743215
6,11554,7.171721250344865
6,11555,6.955373732754851
6,12918,8.398928012182713
6,12920,8.068927438505066
6,12919,8.085765128323393
6,12916,8.376091676913314
6,12917,8.400496939528919
6,12914,8.365353649999598
6,12915,7.997842441505932
6,14388,8.081718690780955
6,14389,7.840406445340396
6,14385,7.964905594101407
6,14390,8.008708645071101
6,14387,7.95780207338124
6,14386,7.9858052016547045
6,16694,8.451918953862462
6,16695,8.724000182282408
6,17362,8.505040840744192
6,17369,8.500134052098353
6,17370,8.218625812576994
6,17372,8.307639700914484
6,17373,8.260629075904344
6,17374,8.177485461466217
6,17375,8.205451874375157
6,17378,8.382220887787701
6,17377,8.489547858169123
6,17379,7.728842618636542
6,17381,8.168459561564461
6,17382,8.490436493839978
6,17380,8.219701647326687
6,17383,7.8815989829178745
6,17385,8.403748809130098
6,17371,8.30425355827244
6,17367,8.310875371698172
6,17368,8.745381967190607
6,17376,7.991250555062707
6,17366,8.401922196134008
6,17361,8.44008987850179
6,17365,8.453930122714645
6,17364,8.441180698201793
6,17363,8.662392086103296
6,17941,8.127253568588566
6,17942,8.329350116212487
6,17943,8.023100133381359
6,18234,8.250155154407665
6,18236,8.223837150343995
6,18238,9.04846350394333
6,18239,8.454904680226308
6,18237,8.458965306020744
6,18235,8.62843739245458
6,18240,8.126841851070417
6,18241,8.157960692124336
6,18233,8.140086952663557
